"GEOID","B01001_001","B25001_001","B26001_001","pctpeopleunemployed","pctwithwhitecollarjob","avgHoursWorked","pctFullEmployedEntire12mos","pctProlongedUnemployment","pctWorkersDisabled","pctWorkersInPoverty","medEarnings","pctFullYearFTE","pctEmployerHealthInsurance","earningsLTE1250","earningsGT3333","medWorkerAge","employment_score","employment_rnk","job_barrier_score","job_stability_score","earnings_benefits_score","employment_state_rnk","NAME"
"01001",59285,24731,503,2.45538900785153,35.4825259646729,40.1,74.4539583484508,27.5332597149918,8.13817330210773,4.84387197501952,40.906,44.6135387724173,48.8464790433627,18.8086581550689,52.1391730785491,39.7,112.56,74.3773349937733,90.46,117.71,108.66,92.4242424242424,"Autauga County, Alabama"
"01003",239945,128518,3280,3.17723988820334,35.9058381101902,39.3,70.0018196706396,23.5259737548879,5.53860268453699,5.84973772911307,41.632,41.8343177064107,48.09551169393,18.803090040709,51.2335587823616,41.7,111.06,71.8866749688668,87.04,107.71,108.3,90.9090909090909,"Baldwin County, Alabama"
"01005",24757,11702,3067,5.70170610897083,27.05703599813,39.6,69.0650535922742,38.7002341920375,9.44108761329305,8.97532729103726,32.099,34.3652792178936,38.2245792022135,21.9372006386376,41.149547631719,39.5,80.92,13.7297633872976,115.84,96.47,78.66,15.1515151515152,"Barbour County, Alabama"
"01007",22152,9090,1382,9.984,23.6165422443417,39.9,67.2766415500538,35.5755894590846,9.96567641140963,9.43306900224879,30.884,36.0475352112676,48.2796785525239,17.4836399555501,51.7841708852945,40.7,84.77,18.3997509339975,125.82,98.46,94.35,21.2121212121212,"Bibb County, Alabama"
"01009",59292,24793,572,5.83324138438339,27.4556536688286,40.5,69.9946751863685,27.7096508111081,9.47941588977807,6.00198003465061,37.158,40.579037329338,46.6861581872886,16.398650768748,53.8711954816442,40.3,101.4,50.7160647571606,102.89,109.18,103.42,71.2121212121212,"Blount County, Alabama"
"01011",10157,4554,1035,5.87318087318087,20.568746548868,39,64.0653775322284,32.515146807519,7.43119266055046,11.131498470948,29.38,35.7765931669494,32.9183049366536,20.2643171806167,39.4823788546256,38.2,76.3,9.74470734744707,111.65,86.56,69.85,12.1212121212121,"Bullock County, Alabama"
"01013",18807,9841,313,6.78704856787049,25.157064563561,39.6,68.5677083333333,30.7733910221741,8.20193637621023,14.149377593361,33.287,37.1230158730159,36.586419086689,23.0312973245835,41.7465926299849,40.7,81.01,13.8231631382316,118,100.34,76.98,16.6666666666667,"Butler County, Alabama"
"01015",116141,53271,4020,6.38204977315439,32.4566610041139,38.9,66.1662437285706,29.7149003376538,10.2925731432858,11.2442396313364,33.514,37.7202368970303,44.5529223420728,20.358662185348,44.5577831574494,38.4,87.54,22.7272727272727,114.65,91.62,90.91,36.3636363636364,"Calhoun County, Alabama"
"01017",34450,16427,669,4.94526974198593,27.8855413399367,40.9,72.6194398682043,27.4374790799981,8.48137535816619,8.23065902578797,34.398,41.2670432061014,43.8823286904797,20.4260388199846,45.4628267115129,39,96.71,40.1930261519303,102.24,113.6,89.11,59.0909090909091,"Chambers County, Alabama"
"01019",25224,14663,283,3.43930098531326,34.6938775510204,38.7,71.092932559688,30.7717634663506,8.56551009839461,8.06835836354221,38.409,37.1796686960215,48.1802148468815,18.8193910080246,47.0045069803232,42.7,99.76,46.8866749688667,100.93,103.24,101.53,65.1515151515152,"Cherokee County, Alabama"
"01021",45500,19702,401,5.39537682394825,23.9465733820957,41.4,72.6547818578902,29.1507736595898,9.59491746307559,6.05994787141616,39.948,41.3039801555982,49.7553631915694,17.6655479196633,50.705876085451,40.4,102.63,53.7359900373599,103.17,117.54,101.18,77.2727272727273,"Chilton County, Alabama"
"01023",12525,7164,146,5.50249169435216,21.9951658976049,40.3,66.5750528541226,36.0292128753043,10.1415094339623,8.20754716981132,35.013,31.3222821896685,40.5884723901653,18.665586169638,50.9724473257699,43.2,85.65,19.6139476961395,112.94,97.24,90.49,26.5151515151515,"Choctaw County, Alabama"
"01025",22802,11727,371,13.1505074497949,26.5115700422991,39.6,69.225384974335,37.8615440376948,8.18949687844289,7.56518545721631,35.677,34.32448505163,41.5418130084915,19.4416035999182,48.7625281243608,41.7,82.25,15.4109589041096,130.9,99.61,91.69,18.1818181818182,"Clarke County, Alabama"
