"GEOID","B01001_001","B25001_001","B26001_001","pctpeopleunemployed","pctwithwhitecollarjob","avgHoursWorked","pctFullEmployedEntire12mos","pctProlongedUnemployment","pctWorkersDisabled","pctWorkersInPoverty","medEarnings","pctFullYearFTE","pctEmployerHealthInsurance","earningsLTE1250","earningsGT3333","medWorkerAge","employment_score","employment_rnk","job_barrier_score","job_stability_score","earnings_benefits_score","employment_state_rnk","NAME"
"01001",55200,23315,546,4.13817221013367,38.7000497429945,40.7,70.9292346102832,27.4194461747551,7.9746940814118,7.76242404062266,34.497,42.7734735288692,49.6932402306686,22.6424210480081,43.7036060965432,40.4,113.8,76.2468030690537,96.03,115.18,116.49,96.969696969697,"Autauga County, Alabama"
"01003",208107,111945,3014,4.43027644598592,36.3282965120637,39.6,67.3423801333949,24.944311947547,5.42208532968287,6.10654802646589,31.394,40.1873449723335,47.5390845550299,23.3931127585043,42.1986104484039,42.3,110.68,71.0038363171356,87.5,105.63,108.82,90.9090909090909,"Baldwin County, Alabama"
"01005",25782,11937,2900,9.52479767586636,25.9288990825688,38.9,66.8288463617688,43.3063626333211,9.3581001645897,13.9901246179168,24.612,31.3108649990453,33.8781575037147,26.170038830983,30.6969139587165,40.2,70.01,6.45780051150895,135.36,90.14,76.24,7.57575757575758,"Barbour County, Alabama"
"01007",22527,9161,2091,7.51398880895284,21.9162859612298,40.4,71.1124121779859,42.3323654534405,7.2463768115942,7.13489409141583,28.231,34.0985381700054,51.6660152433066,22.321892875715,40.8996359854394,41.9,94.25,37.8516624040921,114.05,107.12,99.55,62.1212121212121,"Bibb County, Alabama"
"01009",57645,24222,543,4.07513673451089,29.9119272931697,40.8,74.8888583344791,38.8515217756852,5.1145958986731,5.50542822677925,33.435,36.7614069476206,51.1938288233133,20.3179313268334,43.8787621873675,41.8,111.05,71.579283887468,96.01,116.64,113.89,92.4242424242424,"Blount County, Alabama"
"01011",10352,4526,430,11.0609480812641,20.9644670050761,40.2,68.3228364823886,36.9280564955127,6.36453689945518,10.4259534422982,26.803,36.2653036966599,45.3597915413911,26.0294865277072,23.99593289273,42.1,79.66,15.2813299232737,122.88,104.97,76.22,24.2424242424242,"Bullock County, Alabama"
"01013",20025,10026,322,6.69896030245747,26.9245402663285,39.7,69.8613174839029,33.607365998027,6.73879040667362,15.5109489051095,25.679,36.4057608015028,43.1691496908888,25.9359867721743,30.7310735797803,39.7,83.66,20.2046035805627,118.48,102.2,83.09,28.7878787878788,"Butler County, Alabama"
"01015",115098,53682,3112,8.7192433776706,28.2243495234338,39.5,63.168559085522,28.9569102489238,9.01533729581446,11.9830416891808,26.898,36.7360760242091,45.1519447697713,24.1793168880455,36.4492409867173,39.5,86.99,25.2237851662404,117.94,92.11,92.79,37.8787878787879,"Calhoun County, Alabama"
"01017",33826,16981,512,4.96435681716011,24.5570133910456,40,71.4362416107383,29.8724525815409,7.36200616419165,9.57551134771645,27.688,39.741828174718,44.6355397361888,24.908697416475,34.5056134180982,40.9,95.36,39.8976982097187,102.08,110.64,88.66,69.6969696969697,"Chambers County, Alabama"
"01019",25853,16531,274,5.59406893895629,29.1891891891892,40.1,74.1263573543929,35.5925737538149,7.37807419758233,6.38807836598583,30.455,36.1656283666682,48.6926955094384,21.894949042446,37.8317840743644,41.7,101.67,53.1010230179028,102.8,112.1,102.49,83.3333333333333,"Cherokee County, Alabama"
"01021",43930,19586,403,7.0928010193247,24.2628571428571,39.9,66.8748981476452,33.2741309942368,8.13723205964585,9.83807082945014,29.223,37.1595781666473,45.5915063404343,21.6429789653212,41.3473564525299,40.4,94.36,38.0754475703325,112.01,100.49,99.86,63.6363636363636,"Chilton County, Alabama"
"01023",13075,7344,183,10.5704697986577,23.2879924953096,40.3,64.4656820156386,41.8393127842345,14.035497431107,8.38393274170948,27.128,28.7777777777778,37.2267284665894,24.9587166784619,40.3632932295353,42.6,75.43,10.5179028132992,135.53,92.74,88.13,18.1818181818182,"Choctaw County, Alabama"
"01025",24387,12741,364,14.3496253215524,23.1071008238525,39.6,68.8522558254834,46.7001387329061,5.11825804029533,13.6904017019147,31.59,29.3528310479178,39.8912772844219,24.6831021059986,39.7744285856872,43.2,77.96,13.0115089514067,142.35,97.56,93.6,21.2121212121212,"Clarke County, Alabama"
"01027",13378,6802,250,6.38513513513514,22.8256946950559,37.6,62.8666783769542,30.4968868270052,4.91114083699599,11.1790559908274,25.825,33.7176058286452,43.8528336380256,22.5283630470016,34.5056726094003,42.2,87.38,25.9271099744246,104.62,84.66,88.21,39.3939393939394,"Clay County, Alabama"
"01029",14938,6806,169,7.49836280288147,26.2082444918266,39.6,64.8661879895561,32.2423706324635,10.0143833153542,10.5897159295218,28.619,34.5910357052418,44.2750677506775,20.5677464298154,42.4416579588993,40.1,91.18,32.7365728900256,116.81,93.42,101.89,45.4545454545455,"Cleburne County, Alabama"
"01031",51288,23088,601,5.65594059405941,33.0817031070196,40,68.3839247541684,27.213318811265,8.62334602138844,8.69584919340221,30.656,41.4564305109849,36.4655815735867,23.5558408215661,37.002567394095,40.5,98.64,46.6432225063939,102.46,107.63,95.92,75.7575757575758,"Coffee County, Alabama"
"01033",54495,26466,436,5.8500837520938,27.8748440007131,39.4,70.6677680201722,31.9990539821439,6.77579681729059,8.95535999270439,30.133,37.7684533477712,51.2565231873866,23.7304996608637,37.5536965860276,41.3,99.6,48.4015345268542,103.93,105.68,100.37,78.7878787878788,"Colbert County, Alabama"
"01035",12514,7143,45,11.4851034796452,14.5426515930113,38.9,70.16008004002,46.2995298858294,7.59101471727343,10.6893880712626,25.774,28.9302600472813,38.6077472130885,24.7314049586777,32.995867768595,44,71.73,7.51278772378517,133.97,97.27,76.63,13.6363636363636,"Conecuh County, Alabama"
"01037",10855,6558,390,5.79876231950493,20.705596107056,40.1,69.0624280119788,36.7108908004082,3.32640332640333,6.13305613305613,26.292,33.5645388533651,41.2326803631152,24.389630002517,36.0936320161087,42.5,92.58,34.7826086956522,96.63,103.3,85.11,51.5151515151515,"Coosa County, Alabama"
"01039",37351,18907,666,8.73501345730365,29.397946170884,40.3,71.8970333909805,33.0542815157857,7.28112477076683,11.0643211302044,29.719,37.7121599627993,46.7732289457946,24.3125691116845,33.3947659417619,42.1,92.81,35.0703324808184,116.6,111.89,94.45,53.030303030303,"Covington County, Alabama"
"01041",13865,6790,162,5.77755577755578,24.447612259444,40,67.2049476035046,32.0294255021018,8.17563843468675,8.80029395553922,26.482,36.4937871420854,44.1417691857059,22.7631578947368,34.1611842105263,41.3,91.22,32.8005115089514,105.97,101.82,89.42,46.969696969697,"Crenshaw County, Alabama"
"01043",82313,37652,1200,5.44414246888857,26.9914856225192,39.5,69.266838403427,32.3576630902968,7.60937695875643,7.1236053654256,29.552,37.3882420801773,47.4265157282126,21.5061631113863,40.5442674621489,40.6,100.38,50.1278772378517,101.52,102.79,102.29,80.3030303030303,"Cullman County, Alabama"
"01045",49255,23065,1263,7.85323754010212,26.4576976421637,39.4,69.5773469103083,30.8211907748721,9.94401356001849,12.3632441316965,28.405,39.7202008814185,32.8664396845235,26.6005241482591,33.1211780856109,38.5,83.52,20.0127877237852,119.49,102.54,81.15,27.2727272727273,"Dale County, Alabama"
"01047",40029,20336,596,11.7559982729908,26.2399440363764,39.9,66.4136246616938,38.6555982992509,6.55339805825243,16.4563106796117,24.825,34.1656050955414,34.672570379129,26.6781288057884,30.0809513575471,40.7,71.57,7.3849104859335,136.64,97.09,75.96,12.1212121212121,"Dallas County, Alabama"
"01049",71200,31462,960,4.50438435634982,23.2147222125223,39.3,69.1940542751943,33.8296336401372,5.04827991335316,11.3008040533098,26.288,37.7482259996068,41.3312891273796,21.9350664179957,33.6276786054124,39.8,91.7,33.4398976982097,102.91,101.24,87.55,50,"DeKalb County, Alabama"
"01051",81212,34004,4424,6.08145143608858,36.8193783088344,40.4,71.7607039442242,33.423796065807,7.65714627151052,7.11340822179732,34.3,40.5481679166858,52.5337350976025,20.7942131679953,43.8824918807204,40.1,111.1,71.6432225063939,104.05,112.45,119,93.9393939393939,"Elmore County, Alabama"
"01053",37328,16595,2830,13.4616750728138,24.2817271384009,39.1,75.3724732221954,47.1729419272495,6.28004341758412,14.5526438207474,29.017,32.3071278476368,44.5602756783367,25.5558624499379,36.0999861897528,41.7,78.37,13.650895140665,143.98,105.91,90.27,22.7272727272727,"Escambia County, Alabama"
"01055",102939,47705,1340,6.49680123538496,30.2357967285859,39.4,67.5322599063606,32.1310103233407,7.1761759795738,8.83580477266032,27.153,36.9536280893622,46.5843009026296,24.4422522385794,36.5558759548743,40.3,94.2,37.7557544757033,106.18,99.12,94.77,60.6060606060606,"Etowah County, Alabama"
"01057",16585,8470,328,7.02443280977312,26.0031347962382,39.1,65.0450188788847,31.815031191207,9.88019038240604,9.46988347283768,28.136,34.8899266177452,41.7882209337809,22.688261351052,37.6661129568106,41.7,88.82,28.5485933503836,113.12,94.12,93.63,43.9393939393939,"Fayette County, Alabama"
"01059",31542,14152,255,6.13541742750712,23.659428749319,39,70.7711063700091,32.6905323622936,7.49695740365112,8.93306288032454,26.223,38.8120985445971,48.0028097959705,22.7754479603507,34.4643537933664,39.7,93.38,36.0613810741688,106.43,103.28,90.97,56.0606060606061,"Franklin County, Alabama"
"01061",26491,12768,249,8.52811118130133,25.0522544042998,40.5,68.3468485071876,33.1114398422091,6.43734643734644,14.6830466830467,27.024,36.0404191616766,39.4665443845772,23.9806922049913,33.9735031323816,41.8,84.5,21.3874680306905,120.81,105.54,86.24,30.3030303030303,"Geneva County, Alabama"
"01063",8426,5075,63,15.8457426498664,26.7241379310345,39.9,72.1654068474878,54.5197168857432,4.9593843522873,19.6665241556221,24.033,25.176399939949,26.5798590371521,27.5657894736842,26.6118421052632,42.7,55.43,1.40664961636829,162.26,98.34,67.35,3.03030303030303,"Greene County, Alabama"
"01065",14887,7777,199,11.8011353862033,27.7985441668306,38.1,60.638107187668,38.9606126914661,7.29304792574351,13.2032581928396,23.032,29.7292738466729,37.988941224657,23.9209486166008,35.2252964426877,39.1,71.99,7.67263427109974,132.75,75.24,84.32,15.1515151515152,"Hale County, Alabama"
"01067",17124,9096,311,6.70103092783505,30.9405940594059,39.9,67.3769075727037,32.4581874756904,8.20342061449977,7.0531254729832,28.056,35.8726752503577,42.5955650674752,23.7664041994751,37.5721784776903,41.7,94.67,38.618925831202,105.73,101.54,95.58,66.6666666666667,"Henry County, Alabama"
"01069",104352,47187,938,7.01717681026006,31.6791221692895,38.8,67.8060360934649,30.244717715968,7.06294680159688,10.8300064989323,28.801,39.2597153308464,44.5251666505652,25.0493518848852,37.2196456177905,41,94.7,38.6828644501279,109.22,100.5,95.96,68.1818181818182,"Houston County, Alabama"
"01071",52094,25106,660,5.94755717013646,27.183119520531,38.5,70.4330341817468,37.0103793401705,5.29445516665797,10.3802618538417,26.775,35.7760249385981,46.4016436338263,22.113570932195,36.7467487342401,42.5,93.65,36.5728900255754,107.96,101.32,95.39,57.5757575757576,"Jackson County, Alabama"
"01073",659892,307372,16008,7.24501011907131,38.8928935151507,39.3,66.8528466072932,26.4440956262421,6.73398963063804,10.0740620333025,32.135,41.6654135266786,52.0504209919969,22.2144053129969,45.4327362778067,39,108.25,66.8158567774936,104.93,101.02,117.46,87.8787878787879,"Jefferson County, Alabama"
"01075",13933,7390,188,8.01309667413407,27.0887973023604,40.2,72.0830350751611,32.0360009729993,11.0730593607306,11.0350076103501,30.047,38.0376344086022,44.7664705455074,21.4571948998178,37.3224043715847,42.8,93.04,35.4219948849105,120.58,113.02,98.87,54.5454545454545,"Lamar County, Alabama"
"01077",92585,44792,2209,5.33750853483389,31.4776974831797,38.3,64.995109382828,28.016005220587,5.16371808607939,10.374474089947,27.702,37.1148514591299,50.5866317740704,25.2187748607796,36.1707769822328,39.4,96.75,42.9347826086956,99.06,90.27,96.94,71.2121212121212,"Lauderdale County, Alabama"
"01079",33171,15373,232,5.7365386055568,27.0050922978994,39.2,69.5083446098331,36.5180872387134,6.37103336045566,6.84296175752644,34.162,35.7765229422983,50.3766707168894,21.7193558007754,42.4619743513272,41.5,103.48,57.1611253196931,102.89,101.45,109.63,84.8484848484848,"Lawrence County, Alabama"
"01081",159287,68081,5897,5.65215719942082,40.6820549372224,37.3,60.128429655575,25.9676765857831,6.6531184302733,13.6790469516468,27.126,39.5771870438806,53.8349446901253,24.2167782750614,42.0500050476158,35,98.41,46.1636828644501,106.51,76.4,109.53,74.2424242424242,"Lee County, Alabama"
"01083",93052,36069,2872,6.93382732260939,36.1358757418866,38.9,67.2226110883155,31.5699066809811,6.76955364455364,7.20464782964783,31.599,38.673452900307,54.4297335390147,20.3509149044791,46.879114383212,41,108.84,68.0306905370844,103.35,99.46,119.92,89.3939393939394,"Limestone County, Alabama"
"01085",10236,5187,97,11.5177885845918,24.6745733294764,38.4,65.4925847457627,39.7671079917052,9.10896708286039,14.3019296254257,26.118,32.2341608002964,35.299339185324,22.4074691563855,33.0443481160387,40.9,72.8,8.12020460358056,137.73,88.2,84.04,16.6666666666667,"Lowndes County, Alabama"
"01087",19054,10274,2301,12.1073534721386,30.8272739744821,34.9,55.4286401346639,33.5490572067753,6.11602458402039,17.5685804227252,21.181,30.8506663345373,43.610579987253,29.1299753434308,27.6388399671246,35.2,63.75,3.38874680306905,134.63,51.57,75.03,4.54545454545455,"Macon County, Alabama"
"01089",357560,159299,8842,5.76550781694838,47.507110542139,38.3,69.3852000645459,24.053398468534,5.76987688689433,8.55852072283952,35.448,45.0622343233406,55.8610553077508,23.2720680005781,45.6593139508914,40.6,119.46,83.9833759590793,94.99,106.34,126.77,98.4848484848485,"Madison County, Alabama"
"01091",19538,10325,236,9.71247764479296,29.1025445680329,40,70.687134502924,43.0616831765587,10.7380565005177,8.5342404969679,30.705,31.6945806533783,41.1067398281396,23.6275012827091,36.9933299127758,44,85.74,23.3056265984655,128.76,105.19,95.95,31.8181818181818,"Marengo County, Alabama"
"01093",29965,14867,504,5.57041699449253,26.0100166944908,39.7,65.5213458181241,30.429502042619,11.6819624324556,9.56342739514538,25.869,35.063494020466,45.9081971659096,23.9650892785651,34.39026343182,43.5,87.96,26.9181585677749,111.65,99.66,89.46,42.4242424242424,"Marion County, Alabama"
"01095",95145,40630,1030,5.08524039981517,29.6792060927764,39.3,65.5353964801266,30.4724422981078,5.73986450155931,11.9421443165932,26.58,37.3650982085042,43.8830915415288,21.6532103037293,35.7298474945534,40.1,93.92,37.2762148337596,104.05,96.1,95.07,59.0909090909091,"Marshall County, Alabama"
"01097",414659,183164,8948,6.17349482861233,32.4630228033221,38.9,69.2448926386323,31.7905275026296,5.32825153716504,10.337618407221,30.623,39.7366077962629,45.8870756268334,25.0959333614114,39.0173849969582,39.8,99.5,48.2097186700767,104.4,101.84,100.32,77.2727272727273,"Mobile County, Alabama"
"01099",21512,11398,249,17.465621385426,28.0286515104329,39.7,68.8332140300644,46.5651774785802,5.34926732109831,17.8546023616446,26.939,29.7688536072846,39.1465764368626,23.2044887780549,37.8927680798005,41.1,70.64,6.71355498721228,157.7,95.62,91.85,9.09090909090909,"Monroe County, Alabama"
"01101",226941,104355,6912,7.45392726023186,36.9586178789054,38.5,65.438424564842,27.2908028582868,6.6279573794619,12.8607574520418,29.26,40.9158757741835,45.4720330125779,26.478928540267,36.0570630835006,38.5,94.61,38.5549872122762,110.7,94.49,97.44,65.1515151515152,"Montgomery County, Alabama"
"01103",119122,51951,1865,5.1781542593308,31.7725622658358,38.5,66.9074400823408,27.5738132637576,5.86931108154956,8.09852057886887,28.118,39.4969837977829,50.53386848003,22.6598619033323,40.5103572500751,41.1,103.52,57.2250639386189,95.67,98.45,104.01,86.3636363636364,"Morgan County, Alabama"
"01105",9486,4751,803,12.2648607975922,29.8924731182796,36.8,70.1636592530424,59.8483572030329,7.49789385004212,20.4717775905645,22.41,22.3405637095727,28.444301490297,25.1438957891548,28.991214783399,38.6,52.92,1.05498721227621,163.19,75.15,73.43,0,"Perry County, Alabama"
"01107",20298,9557,1543,10.5540235648032,27.7186098654708,38.4,62.6624883936862,34.2691486115349,9.68607459082372,14.1803058760397,24.206,32.8324523371147,43.9052815595699,23.6560525976537,34.1884749258734,41.3,76.74,11.9565217391304,131.74,85.38,88.01,19.6969696969697,"Pickens County, Alabama"
"01109",33403,16077,1912,8,31.4056623855815,35,54.7209873266538,33.8701184730145,9.323163507109,18.5130331753554,21.853,31.7675964734788,48.374179562835,24.8016637140877,34.8378649002542,33.9,71.13,7.19309462915601,131.68,50.24,89.47,10.6060606060606,"Pike County, Alabama"
"01111",22574,12056,489,4.96750743473951,25.2086230876217,40.1,73.264009243212,36.8524733693273,4.23976608187134,9.08869395711501,29.9,36.5352947634208,44.3065758824583,23.1768338124135,35.6861492600873,41,97.66,44.7570332480818,101.28,110.36,94.02,72.7272727272727,"Randolph County, Alabama"
